v_mps,snr_db,noise_model,n_total,n_valid,invalid_rate,dt_bias_ns,dt_std_ns,dt_rmse_ns,dt_abs_mean_ns,dt_ci95_low_ns,dt_ci95_high_ns,dt_outlier_rate,v_bias_mps,v_std_mps,v_rmse_mps,v_abs_mean_mps,v_ci95_low_mps,v_ci95_high_mps,v_outlier_rate
0.5,30,gaussian,120,120,0,0.00280048999068256,0.188791179438342,0.188023760730642,0.151591890521678,-0.322034701778844,0.342958371367332,0,-9.49396964012097e-05,0.00919604761588218,0.00915814270844505,0.00741491141937046,-0.0159177122417806,0.0164742034349859,0
0.5,30,impulse,120,120,0,0.0098752816486147,0.0900226178255108,0.0901890180498498,0.0732621225754699,-0.136396215433433,0.194374922557412,0,0.000249674501954587,0.00438501566912522,0.0043738385226152,0.00356436539797322,-0.00687523279516933,0.00923668061081035,0
0.5,30,colored,120,120,0,-0.0302212633303998,0.677350038517165,0.675198519311788,0.531075074778024,-1.34380696031374,1.25829954467371,0,-0.001703434419534,0.0329938253755007,0.0329001914501489,0.0258764609502378,-0.0656883973449114,0.0610606138782347,0
0.5,20,gaussian,120,120,0,-0.258505062707866,0.925703563619753,0.957397982074203,0.767074570964345,-2.12814594358546,1.49752429146501,0,-0.0128231736745944,0.0450911640817377,0.0466980023022001,0.0374144475258655,-0.103893670804284,0.0727132883778322,0
0.5,20,impulse,120,120,0,-0.0455771059813278,0.392300656465669,0.39331231772918,0.289039687384059,-0.857233936436259,0.680011617978245,0,-0.0024514198954447,0.0191090257888788,0.0191864892276349,0.0141088625971166,-0.0419873499257842,0.0328921193256694,0
0.5,20,colored,120,120,0,0.45947521822553,2.38438519878379,2.41847737482515,1.96695606669667,-4.15434313204882,4.6450348362565,0,0.0221700156832152,0.116110735998738,0.117732175230242,0.0957480618073554,-0.202452373469257,0.226029014925571,0.075
0.5,10,gaussian,120,120,0,-0.640158724771091,5.23490442011385,5.25220515068643,4.15245045991032,-9.32430032678253,7.74981504866539,0.00833333333333333,-0.0313876062125221,0.254949265784106,0.255817611877242,0.202221902702337,-0.454398366262614,0.377263340359115,0.433333333333333
0.5,10,impulse,120,120,0,-0.0975070657763158,1.96761427013507,1.9618233851739,1.40519136701814,-4.6820372715319,3.34932701323313,0,-0.00496891390285649,0.0958181337506953,0.0955473472745908,0.0684312110622626,-0.228168335682393,0.16291488601212,0.05
0.5,10,colored,120,120,0,0.241069853487542,6.34113880731028,6.31926201147917,4.91618845545547,-12.9856500905544,13.3564924079899,0.0166666666666667,0.0115070320571356,0.308847665069882,0.307773295361032,0.239421031822661,-0.632825839924655,0.649833431126953,0.5
1,30,gaussian,120,120,0,0.0379143924751268,0.178052323284815,0.181317242428803,0.142672511944372,-0.332784020542627,0.435484579650591,0,0.00138411193882822,0.00867295626796144,0.00874694812672561,0.0068237855277039,-0.0166726652230336,0.0207498173854366,0
1,30,impulse,120,120,0,-0.0131448772550572,0.0928922298654041,0.0934336455156254,0.0721578621946824,-0.181005300782675,0.150844788917934,0,-0.00110299300467519,0.00452479491642098,0.0046389382257223,0.00361598511863744,-0.00927950025556759,0.00688496905544844,0
1,30,colored,120,120,0,-0.0450091406059019,0.62360857996469,0.622633723175415,0.503089019164998,-1.28577600263807,1.20614657916234,0,-0.00265510621192957,0.0303760705986843,0.0303655403399601,0.024505544109807,-0.0630930523988329,0.0582888828457253,0
1,20,gaussian,120,120,0,-0.0370376650345953,1.02136207093134,1.01777163347297,0.816327255781234,-1.88886340099353,2.13439888047204,0,-0.00226681440115396,0.0497507048013764,0.049594807898889,0.0397788506385001,-0.0924695330602434,0.103504196335433,0
1,20,impulse,120,120,0,0.00597326998519773,0.365349266211149,0.363872824243122,0.281418015026245,-0.789873232237103,0.691434808821838,0,-0.000171745089005254,0.0177962193917149,0.0177227455305791,0.013707915135906,-0.0389375515802974,0.0332171927244603,0
1,20,colored,120,120,0,0.012771093649014,2.11499038109803,2.10619820459417,1.73130010826068,-3.94974863691573,3.91762523827479,0,9.6196457648968e-05,0.102915425290638,0.102485759060247,0.0842610034196033,-0.192855572369875,0.189814896543563,0.0333333333333333
1,10,gaussian,120,120,0,-0.134712550567867,5.68930592640261,5.6671522283635,4.62052235551467,-12.2687703492695,8.95034042264389,0.025,-0.00722790962944752,0.276884006472823,0.275822629195013,0.224927514202681,-0.598073675304717,0.434845856515578,0.516666666666667
1,10,impulse,120,120,0,0.101393188453717,1.94245185449472,1.93699693485462,1.25878081434982,-3.85991395953229,5.63033196362496,0,0.00442854249300076,0.0944970916587223,0.0942066778478909,0.0612832006251558,-0.188479711308817,0.273202522842485,0.05
1,10,colored,120,120,0,0.0967328553633637,7.12199178790675,7.09291439022726,5.79686283725423,-14.6117665364879,12.5642890187766,0.0166666666666667,0.00402408346071303,0.3466407886086,0.345216884878909,0.282125457601027,-0.712070891080135,0.610800437961045,0.65
2,30,gaussian,120,120,0,0.0336222237677478,0.18012902219544,0.182500770855536,0.143353125444313,-0.321012792414221,0.352065050260055,0,-0.00113742765926096,0.00876600046692849,0.00880318973429655,0.00690113313543602,-0.0183957832509954,0.0143596306809151,0
2,30,impulse,120,120,0,0.00842316683783858,0.0858208561495917,0.0858766106801394,0.0668223976221358,-0.145671095264395,0.164620743548617,0,-0.00236374278672597,0.00417648225649764,0.0047838191472555,0.00382492906965237,-0.00986275853152669,0.00523763101573768,0
2,30,colored,120,120,0,0.0596035416077238,0.748264672048441,0.747520413174548,0.586726895480868,-1.49380187622334,1.41717351561503,0,0.000126956289204242,0.0364143900001072,0.0362625681934822,0.0284724728984931,-0.075469704660089,0.0661932618794503,0
2,20,gaussian,120,120,0,-0.196504489017036,0.991380247372436,1.0066074304945,0.789070140604853,-2.07692332092551,1.49093278420578,0,-0.0123151670774078,0.0481847734718492,0.0495387487870869,0.0388335618438916,-0.103825908652467,0.0697827655309236,0
2,20,impulse,120,120,0,0.0537055700937977,0.333277870996345,0.336203524263935,0.263812267302765,-0.517382534107616,0.775548356151681,0,-0.000160069201829105,0.0162190075600424,0.0161520801548948,0.0127226012465024,-0.0279521402799436,0.0349684965479299,0
2,20,colored,120,120,0,0.137832946574641,1.98721636261047,1.9837132401273,1.62963618071737,-3.96785677392646,2.89213084474988,0,0.00401831289241518,0.0965505061570743,0.0962313033392048,0.0791446141413476,-0.195035490817538,0.137972237184536,0.0333333333333333
2,10,gaussian,120,120,0,0.0376155445286641,6.09104690339797,6.06573108031966,5.05518415335222,-9.68155583842205,13.5379821982528,0.0166666666666667,-0.000686967428377237,0.295989684617132,0.29475461468652,0.245557875315199,-0.473221939975809,0.654826606835164,0.558333333333333
2,10,impulse,120,120,0,0.0497917718403305,1.92285735467659,1.91547595223483,1.32851141333693,-4.88060247010957,3.45876895195179,0,-0.000310556154844723,0.0934600507670944,0.0930703373374224,0.0644284278219579,-0.239474912869614,0.165547748625008,0.0583333333333333
2,10,colored,120,120,0,-0.582744325829646,7.12307665346305,7.11723214824211,5.6655450394655,-13.774425618166,12.9977429779557,0.025,-0.0308860262422809,0.346267284076682,0.346201969047017,0.275522493312393,-0.672494057397813,0.628547948390188,0.566666666666667
