v_mps,snr_db,n_total,n_valid,invalid_rate,bias_ns,std_ns,rmse_ns,abs_mean_ns,ci95_low_ns,ci95_high_ns,outlier_rate
0.5,40,200,200,0,0.00156728187982167,0.0632208738603706,0.0630820962690792,0.0519410870692435,-0.110604897574795,0.119602441228388,0
0.5,35,200,200,0,0.00573832665261863,0.106187577065872,0.106077098886975,0.0837821129952409,-0.227369710471229,0.199195883978864,0
0.5,30,200,200,0,-0.00555208610162858,0.180257830193647,0.179892319400999,0.146539867735439,-0.338880527740592,0.352293113175916,0
0.5,25,200,200,0,-0.0503342038748027,0.351385300411226,0.354101402536155,0.278336513423913,-0.852480761140413,0.564146746438207,0
0.5,20,200,200,0,0.0228995845126154,0.614006148164813,0.612897155487868,0.48839231125403,-1.1282770081306,1.20537694014933,0
0.5,15,200,200,0,-0.208489317673239,1.1202523675606,1.13673142640373,0.858624123137493,-2.92356250597706,1.61675016576335,0
0.5,10,200,198,0.01,-0.417394378235506,2.14614399252348,2.18102952994976,1.63552033424726,-6.02076476586987,2.8361181264305,0
1,40,200,200,0,0.00757516598597103,0.0619553428316436,0.0622627924411889,0.0497830012471547,-0.111281292393606,0.130176557280714,0
1,35,200,200,0,-0.0118315971081531,0.0960404393789978,0.096527891597507,0.0779374570724276,-0.185039333051749,0.174695001268684,0
1,30,200,200,0,0.00235391319112001,0.187923369984342,0.187467751703198,0.150416841118084,-0.361363250413063,0.327460551229867,0
1,25,200,200,0,0.0302944369691622,0.348316551087686,0.34876288588967,0.274559649943928,-0.60789551321065,0.759417766739906,0
1,20,200,200,0,-0.00313569000555075,0.61426870376865,0.612739131098448,0.50189945846942,-1.02440602280899,1.24421412618264,0
1,15,200,200,0,0.053739066646338,1.08252296267309,1.08114965299674,0.856899053352057,-1.80837758203792,2.40451735197372,0
1,10,200,199,0.005,0.396027783678302,2.2230484485193,2.25254267849235,1.63656764891238,-2.78084748886088,5.68709229641441,0
2,40,200,200,0,0.00792400016190999,0.0583974080666183,0.0587877177743837,0.0467636468246979,-0.123603276139336,0.121445020986485,0
2,35,200,200,0,-0.00241140815206357,0.101326746067991,0.101101873428039,0.0800694553619773,-0.186323142196973,0.200271080908507,0
2,30,200,200,0,0.0251214327659774,0.192562644642615,0.193716433570864,0.155885845376483,-0.378978397661657,0.365994702116549,0
2,25,200,200,0,-0.062232958400276,0.328281688687024,0.333321112296864,0.265728253754697,-0.609254765088144,0.578275370132468,0
2,20,200,200,0,-0.0516877459653458,0.626681059474782,0.627245667690014,0.51761255005849,-1.17189802443892,1.00860486603202,0
2,15,200,200,0,-0.131566418366834,1.0460593430962,1.05170274839155,0.820872781103876,-2.41662817985022,1.38340290419628,0
2,10,200,198,0.01,-0.546884586891718,2.16224411883337,2.22503252929438,1.6567507339245,-6.55714242068732,2.84088078657485,0
