diameter_mm,temp_c,dt_error_ns,v_error_mps
15,20,0.1,0.00652228690197804
15,20,0.2,0.0130445738039561
15,20,0.5,0.0326114345098902
15,20,1,0.0652228690197804
15,20,2,0.130445738039561
15,20,5,0.326114345098902
20,20,0.1,0.00489171517648353
20,20,0.2,0.00978343035296706
20,20,0.5,0.0244585758824176
20,20,1,0.0489171517648353
20,20,2,0.0978343035296706
20,20,5,0.244585758824176
25,20,0.1,0.00391337214118682
25,20,0.2,0.00782674428237364
25,20,0.5,0.0195668607059341
25,20,1,0.0391337214118682
25,20,2,0.0782674428237364
25,20,5,0.195668607059341
20,10,0.1,0.00466293894573973
20,10,0.2,0.00932587789147947
20,10,0.5,0.0233146947286987
20,10,1,0.0466293894573973
20,10,2,0.0932587789147947
20,10,5,0.233146947286987
20,20,0.1,0.00489171517648353
20,20,0.2,0.00978343035296706
20,20,0.5,0.0244585758824176
20,20,1,0.0489171517648353
20,20,2,0.0978343035296706
20,20,5,0.244585758824176
20,30,0.1,0.00507009892814652
20,30,0.2,0.010140197856293
20,30,0.5,0.0253504946407326
20,30,1,0.0507009892814652
20,30,2,0.10140197856293
20,30,5,0.253504946407326
20,40,0.1,0.00520357202099844
20,40,0.2,0.0104071440419969
20,40,0.5,0.0260178601049922
20,40,1,0.0520357202099844
20,40,2,0.104071440419969
20,40,5,0.260178601049922
