diameter_mm,temp_c,sound_speed_mps,dt_true_ns,v_est_mps,v_err_mps
15,10,1447.27995449,16.0842766488568,1.00000000000008,8.4821039081362e-14
15,20,1482.35853888,15.3320455697321,0.999999999999944,-5.6399329650958e-14
15,30,1509.14473247,14.7926107681378,1.00000000000032,3.23074900165921e-13
15,40,1528.88020736,14.4131761215867,1.00000000000015,1.54321000422897e-13
20,10,1447.27995449,21.4457021984781,1.0000000000002,1.97841742988203e-13
20,20,1482.35853888,20.4427274263144,1.00000000000018,1.80744308408975e-13
20,30,1509.14473247,19.7234810241825,1.00000000000026,2.61790589206612e-13
20,40,1528.88020736,19.217568162112,0.999999999999965,-3.51940698806175e-14
25,10,1447.27995449,26.8071277480958,1.00000000000013,1.29896093881143e-13
25,20,1482.35853888,25.5534092828893,1.00000000000004,3.81916720471054e-14
25,30,1509.14473247,24.6543512802236,1.00000000000008,7.72715225139109e-14
25,40,1528.88020736,24.0219602026409,1,2.88657986402541e-15
